average,rrData
67.3,921
66.200005,945
64.6,984
64.3,945
64.1,945
63.600002,960
62.8,984
61.8,1007
62.2,953
61.8,984
60.9,1023
59.9,1039
59.8,1007
59.5,1023
59.4,1015
60.600002,945
61.8,929
63.8,875
65.4,867
66.700005,859
68.4,828
68.6,867
67.4,929
65.3,992
64.6,953
63.4,992
62.5,992
62.7,953
62.3,976
62.4,960
62.7,945
63.600002,914
63.100002,968
62.3,992
61.600002,1000
61.3,992
62.100002,937
61.9,976
61.9,968
61.5,992
61.8,960
62.0,960
61.7,984
61.3,992
61.5,968
62.4,929
62.3,968
62.4,960
62.7,945
63.3,929
63.100002,960
62.600002,976
63.4,921
63.9,921
64.1,929
64.4,921
65.5,882
65.700005,906
65.0,945
63.600002,992
63.4,953
62.8,976
62.600002,968
63.4,921
65.0,875
65.700005,890
65.9,906
65.5,929
66.1,890
65.5,937
64.6,960
63.7,976
64.0,929
63.7,953
64.1,921
64.9,898
65.8,882
66.1,898
65.5,937
65.9,898
65.200005,945
64.5,953
64.8,914
65.9,875
66.700005,875
68.1,843
69.8,812
70.200005,843
70.1,859
70.200005,851
69.200005,898
67.8,929
67.3,906
67.9,867
68.9,843
70.0,828
71.6,796
72.700005,796
73.5,796
74.3,789
74.6,796
74.6,804
74.6,804
74.6,804
73.6,843
72.1,875
71.8,843
71.6,843
71.700005,835
71.9,828
72.5,812
72.9,812
73.4,804
73.8,804
74.3,796
74.4,804
74.0,820
73.200005,843
72.8,835
72.700005,828
72.6,828
72.6,828
73.6,789
74.1,796
74.3,804
74.200005,812
74.3,804
73.8,828
72.8,851
72.3,843
72.4,828
72.0,843
71.5,851
71.0,859
70.5,867
71.1,828
71.9,812
73.6,773
75.3,757
77.0,742
78.4,734
80.200005,710
79.9,757
78.5,796
77.8,843
76.5,890
75.0,906
73.3,867
71.3,898
69.6,914
67.8,945
66.5,945
66.1,921
65.3,945
64.3,968
63.3,984
62.600002,984
63.2,929
63.4,937
63.100002,960
62.600002,976
62.4,968
63.5,906
64.3,906
64.5,921
63.7,968
64.0,929
63.8,945
63.100002,976
62.5,984
63.100002,929
64.8,875
65.200005,906
64.8,937
64.700005,929
64.700005,929
64.0,960
64.200005,929
64.5,921
64.3,937
64.4,929
65.1,898
66.200005,875
66.0,914
65.4,937
65.3,921
65.9,890
65.200005,945
64.200005,968
64.5,921
63.600002,976
62.7,992
61.9,1000
62.100002,960
61.9,976
61.9,968
61.3,1000
60.9,1000
61.2,968
60.8,1000
60.4,1007
61.2,953
62.0,937
61.4,1000
60.600002,1023
59.9,1031
59.9,1000
60.2,984
61.0,953
62.9,890
64.8,867
65.4,898
64.8,945
65.200005,906
64.200005,968
63.5,1054
62.4,1093
60.600002,1062
60.9,976
61.2,968
61.4,968
61.4,976
62.2,937
63.8,890
63.0,984
61.7,1023
60.8,1148
58.5,1125
57.9,1062
57.600002,1054
57.0,1078
56.5,1085
55.9,1101
56.600002,1031
57.600002,1000
57.600002,1039
57.4,1054
56.8,1085
56.5,1078
57.3,1015
57.7,1023
57.3,1062
57.100002,1062
56.8,1070
56.5,1078
56.5,1062
57.600002,1000
58.8,976
59.0,1007
58.600002,1039
58.2,1046
58.600002,1007
59.3,984
59.4,1007
59.3,1015
59.100002,1023
59.3,1007
60.600002,945
61.5,945
61.2,992
60.4,1023
59.3,1054
58.7,1046
59.2,992
60.0,968
60.3,984
60.5,984
60.2,1007
60.100002,1000
60.8,960
61.5,953
61.2,992
60.3,1031
59.7,1031
60.5,960
61.0,968
61.8,945
63.3,898
63.8,921
65.1,882
65.8,890
65.3,937
64.0,984
63.7,953
62.600002,1000
61.4,1023
60.3,1039
59.7,1031
60.100002,984
61.8,914
63.100002,906
63.2,945
62.8,968
61.8,1007
60.5,1046
59.600002,1046
60.0,984
60.600002,968
60.600002,992
60.600002,992
60.7,984
60.9,976
62.2,921
63.100002,921
63.100002,953
62.8,968
62.0,1000
61.8,976
62.600002,929
63.0,937
63.600002,921
64.1,921
65.3,882
66.700005,859
66.5,906
65.700005,937
64.3,984
63.5,976
63.8,929
64.0,929
63.8,945
63.600002,953
63.7,937
63.8,937
64.5,906
65.700005,875
65.5,921
65.0,937
64.200005,960
63.4,976
63.8,929
63.7,945
63.3,960
62.600002,984
63.0,937
64.0,906
64.3,921
64.4,929
64.3,937
64.1,945
64.9,898
64.5,945
63.9,960
63.8,945
64.0,929
64.200005,929
65.200005,890
66.0,882
67.6,843
69.3,820
70.9,804
72.3,796
73.0,804
72.5,843
72.5,976
71.1,1054
69.1,1070
66.4,1000
64.9,976
63.9,976
63.8,945
64.0,929
65.4,875
66.200005,882
65.9,921
64.4,984
62.8,1015
61.4,1031
61.600002,968
61.600002,976
61.3,992
61.2,984
60.8,1000
60.7,992
61.7,937
61.9,960
62.100002,960
62.4,953
62.9,937
64.1,898
64.3,929
63.9,953
63.0,984
63.0,953
63.5,929
63.2,960
62.7,976
62.5,968
63.8,898
64.700005,898
64.200005,953
62.9,1000
62.2,992
61.7,992
62.9,914
64.4,882
64.3,937
64.200005,937
63.7,960
63.3,960
63.4,945
63.600002,937
63.4,953
62.7,984
62.8,953
63.0,945
62.2,992
61.100002,1023
59.8,1054
59.2,1039
59.2,1015
60.2,960
61.0,953
61.600002,953
61.9,960
61.2,1007
60.100002,1046
59.5,1031
60.0,984
60.8,960
61.0,976
60.8,992
60.7,992
60.2,1015
59.9,1015
59.8,1007
60.3,976
61.9,914
63.0,914
64.5,882
66.3,851
68.200005,828
68.700005,859
68.3,890
67.8,898
66.5,945
64.700005,992
63.3,1000
63.4,945
64.200005,906
64.8,906
65.6,890
66.3,882
67.0,875
68.1,851
68.3,875
67.200005,929
65.6,968
64.8,1046
62.8,1031
61.7,1015
61.9,960
62.5,937
63.4,914
64.4,898
65.1,898
65.4,906
66.200005,882
65.700005,929
64.700005,960
63.7,976
63.3,960
63.8,921
64.5,906
64.5,929
64.200005,945
63.2,984
62.4,992
62.600002,953
62.4,968
62.100002,976
62.7,937
64.1,890
64.700005,906
64.700005,929
63.9,968
63.600002,953
63.600002,945
62.8,984
62.4,976
62.0,984
62.8,929
63.600002,914
64.1,921
64.3,929
64.9,906
64.8,929
64.1,960
62.600002,1015
61.5,1015
61.8,960
62.3,945
62.8,937
63.2,937
63.600002,929
64.700005,890
65.700005,882
65.5,921
64.700005,953
63.3,1000
62.8,976
62.100002,992
61.100002,1023
60.5,1015
60.5,992
61.9,921
62.7,929
63.4,921
64.4,898
65.8,867
65.9,906
65.700005,921
64.6,968
63.7,976
63.3,960
62.9,968
63.100002,945
64.200005,898
65.0,898
65.5,898
66.1,890
66.1,906
66.3,898
65.5,945
64.700005,953
65.0,914
65.0,921
64.700005,937
64.700005,929
65.3,898
65.4,914
65.8,898
67.0,859
67.1,890
67.200005,890
66.9,906
67.4,875
67.4,890
67.4,890
67.200005,898
68.0,859
69.200005,835
69.200005,867
68.8,882
67.8,914
66.200005,960
65.1,960
64.8,937
64.1,960
63.9,945
64.6,906
64.9,914
64.8,929
64.6,937
64.6,929
65.1,906
64.8,937
64.6,937
65.4,890
65.8,898
65.6,921
66.0,898
66.8,875
68.1,843
69.4,828
69.9,843
70.3,843
69.4,890
68.1,921
66.4,960
66.0,921
64.9,960
63.600002,992
62.8,984
63.3,929
63.5,937
64.700005,890
65.700005,882
65.200005,937
63.600002,1000
62.7,992
61.100002,1046
59.8,1054
59.2,1039
59.4,1000
59.7,992
60.8,945
61.5,953
62.0,953
61.8,976
62.3,945
61.9,984
61.3,1000
61.4,976
61.7,960
62.4,937
63.9,890
65.0,890
65.5,898
66.6,867
66.700005,898
65.9,937
65.5,929
65.0,937
64.200005,960
63.2,984
62.5,984
63.100002,929
63.9,914
64.6,906
65.3,898
66.1,882
66.3,898
65.200005,960
63.5,1007
62.7,984
61.9,1000
61.2,1007
61.7,953
63.4,890
64.6,890
65.6,882
66.1,890
67.0,867
66.6,914
65.1,976
63.4,1007
62.7,984
62.3,976
61.600002,1000
61.4,984
