timestamp,x,y,z
3289084,1.0815945,9.260554,1.8257889
3289093,0.9284483,9.317985,1.7109293
3289102,0.84230363,9.389771,1.8329676
3289112,0.7059079,9.313198,2.1033661
3289121,0.6532639,9.576418,1.8401463
3289130,0.09810923,10.074143,1.5314612
3289140,0.64129937,9.703242,1.5841051
3289149,0.66283554,9.60274,1.6367491
3289160,0.80641,9.593168,1.6798215
3289169,0.6532639,9.729565,1.926291
3289179,0.69872916,9.810924,1.9406484
3289188,0.6101916,9.765458,1.9717562
3289198,0.70830077,9.487881,1.8688612
3289207,0.54079723,9.5500965,1.9238981
3289217,0.5312256,9.440022,1.8042527
3289226,0.57908374,9.325163,1.8521109
3289236,0.5623334,9.231839,1.7827165
3289245,0.4977249,9.246197,1.7803236
3289255,0.5431901,9.164838,1.8592896
3289264,0.5551547,9.250982,1.9382555
3289274,0.54797596,9.310805,2.0866158
3289283,0.6101916,9.310805,2.1536174
3289293,0.7154795,9.370628,2.184725
3289302,0.8542682,9.43763,2.2421548
3289311,0.86623275,9.597955,2.3450499
3289320,0.9739136,9.837245,1.8138243
3289329,0.9021264,9.451987,1.7946811
3289339,1.0241647,9.143302,2.2254045
3289348,1.117488,9.564454,1.9980782
3289357,1.1940612,9.401736,2.215833
3289367,1.0959519,9.495059,1.9071478
3289376,0.98827106,9.58599,1.8640754
3289386,1.0361292,9.461558,2.0985804
3289395,1.040915,9.507024,2.2014754
3289404,1.0122001,9.466345,2.2947989
3289414,0.92605543,9.633848,2.2014754
3289423,1.0074143,9.514202,2.2110472
3289432,0.885376,9.518989,2.1751535
3289442,0.832732,9.495059,2.0363648
3289451,0.7322299,9.466345,2.108152
3289461,0.7346228,9.511809,2.1560102
3289470,0.2057901,9.56924,2.0267932
3289479,0.5934412,9.468738,2.2301903
3289489,0.51208234,9.863567,2.266084
3289498,0.6197632,10.251218,1.8903974
3289507,0.72983694,10.165073,1.7085364
3289517,0.8997334,10.404365,1.7252867
3289526,0.9547703,10.5862255,1.5458187
3289537,1.0265576,10.784837,1.5171037
3289546,0.9547703,10.959519,1.3926725
3289556,0.9858781,10.988234,1.2969562
3289565,1.0313433,11.055236,1.2897775
3289575,1.1533817,11.071986,1.3591717
3289584,1.1342385,11.014556,1.6798215
3289594,1.2108115,11.150951,1.6080343
3289603,1.1820966,10.725014,1.7133222
3289612,1.1988469,10.629298,1.586498
3289621,1.1366314,10.253612,1.4692456
3289630,1.0433079,9.885103,1.5817122
3289640,0.5934412,9.990392,1.7061435
3289649,0.3254355,10.701085,0.9834852
3289658,0.24646953,10.622119,0.42115182
3289668,0.052643977,10.413936,0.3517575
3289677,-0.110073775,9.830067,0.55036885
3289687,-0.15793194,9.399343,0.7944455
3289696,-0.3828653,9.43763,0.80641
3289705,-0.6269419,9.593168,0.60301286
3289715,-0.73701566,9.657777,0.39961565
3289724,-0.9786994,9.748708,0.27518442
3289733,-0.81119585,9.408915,0.33740005
3289743,-0.8231604,9.294055,0.31347096
3289752,-0.6795859,9.181588,0.28236315
3289762,-0.5838696,9.222268,0.18664683
3289771,-0.40200856,9.387379,0.045465253
3289780,-0.13639577,9.492666,0.19861138
3289790,0.035893623,9.633848,0.24407662
3289799,0.045465253,9.794173,0.25604117
3289808,0.09332342,9.983212,0.3613291
3289818,0.047858164,10.016713,0.4115802
3289827,0.15075321,10.0430355,0.40440148
3289837,0.1483603,10.11243,0.4785816
3289846,0.15314612,10.148323,0.46183127
3289855,0.088537596,10.107644,0.6221561
3289865,0.023929082,10.028678,0.73701566
3289874,-0.06460852,9.913818,0.9404129
3289883,-0.08135887,9.796566,1.1007377
3289893,-0.1172525,9.743921,1.2490981
3289902,-0.12682413,9.657777,1.2873845
3289913,-0.17707519,9.655384,1.3974583
3289922,-0.19621846,9.739136,1.1868824
3289932,-0.33022133,9.4495945,1.4118158
3289941,-0.30389932,9.009299,1.61282
3289951,-0.28714898,9.332341,1.5027462
3289960,-0.18903974,9.375414,1.5697477
3289970,-0.3254355,9.435237,1.0648441
3289979,-0.51208234,9.547704,0.98827106
3289989,-0.39961565,9.428058,1.0792016
3289998,-0.4450809,9.47113,1.1868824
