Timestamp (ms),X: (microtesla),Y: (microtesla),Z: (microtesla)
97134,-43.073082,-52.788158,-82.386238, 
97212,-44.527706,-52.822701,-83.784470, 
97290,-44.423206,-51.760345,-82.194992, 
97368,-43.351009,-53.808243,-82.985756, 
97446,-44.186909,-54.709442,-81.738052, 
97524,-44.974358,-53.799519,-83.253708, 
97602,-43.719666,-52.128368,-80.863083, 
97680,-43.727768,-50.809937,-81.470436, 
97758,-44.453991,-49.887123,-81.161797, 
97836,-39.235630,-25.876482,-81.566612, 
97914,-45.842194,-30.866179,-83.388161, 
97992,-45.861526,-49.911747,-81.156738, 
98070,-46.183056,-47.741165,-81.470741, 
98148,-43.663582,-52.396343,-80.350220, 
98226,-47.036583,-51.845917,-82.332848, 
98304,-49.330044,-50.701561,-85.619270, 
98382,-51.201313,-50.106682,-84.800354, 
98460,-50.966522,-45.135269,-86.584198, 
98538,-52.263062,-42.015465,-87.844887, 
98616,-52.795269,-39.530666,-87.120483, 
98694,-52.489185,-43.024639,-86.900780, 
98772,-54.298775,-41.656208,-86.926453, 
98850,-54.052921,-39.602524,-88.807022, 
98928,-51.670704,-36.286987,-87.814697, 
99006,-53.187016,-37.095081,-88.368340, 
99084,-52.909084,-36.075001,-87.768814, 
99163,-51.585468,-35.508476,-87.957634, 
99241,-51.109375,-38.206093,-85.354927, 
99318,-55.257126,-42.583183,-89.327332, 
99396,-55.445572,-43.584427,-87.260574, 
99474,-57.824722,-43.979256,-87.735191, 
99552,-53.202282,-47.659401,-85.895172, 
99630,-53.617573,-45.228775,-87.844681, 
99708,-54.641464,-46.370548,-87.199104, 
99786,-47.728703,-40.354820,-83.936058, 
99864,-49.592846,-46.158127,-86.073784, 
99942,-51.162609,-44.057411,-87.793671, 
100020,-52.475735,-52.822342,-86.254517, 
100098,-47.794136,-53.849758,-83.383911, 
100176,-49.321510,-51.740120,-83.840828, 
100254,-50.812958,-51.222843,-84.019508, 
100332,-50.420319,-52.617889,-84.269440, 
100411,-49.603828,-57.001320,-84.631386, 
100489,-51.573471,-51.627388,-84.366501, 
100567,-54.407803,-51.960480,-86.088791, 
100644,-51.779865,-51.592060,-84.358856, 
100722,-50.020794,-52.131779,-82.363525, 
100800,-51.902779,-52.378502,-85.338562, 
100878,-49.582352,-54.356525,-84.723442, 
100956,-50.939716,-51.450531,-82.797348, 
101035,-48.541840,-55.571743,-82.983223, 
101113,-54.280613,-51.452915,-86.139854, 
101191,-51.935314,-52.105568,-85.149773, 
101268,-50.897301,-50.960815,-85.374359, 
101346,-51.227501,-52.752472,-84.848633, 
101424,-52.399487,-51.765942,-85.507019, 
101502,-52.233406,-54.450031,-85.983925, 
101580,-52.048378,-52.610161,-84.677719, 
101659,-50.323597,-54.477230,-83.338013, 
101737,-50.612591,-52.579586,-83.840797, 
101815,-51.021996,-53.828346,-83.358490, 
101892,-51.651031,-54.004208,-84.787315, 
101970,-50.283707,-52.108345,-84.039841, 
102048,-49.843979,-53.493473,-82.886467, 
102126,-50.344505,-51.841358,-84.693031, 
102204,-51.077190,-52.519825,-85.369141, 
102283,-52.761227,-47.724113,-85.068489, 
102361,-53.371109,-52.136143,-85.986687, 
102439,-50.373653,-52.887848,-84.037231, 
102516,-49.327538,-53.061531,-83.654472, 
102594,-50.901260,-54.922062,-84.394295, 
102672,-50.840462,-55.189045,-83.741096, 
102750,-49.988365,-56.924709,-83.774109, 
102828,-50.625401,-51.262138,-84.588478, 
102907,-51.898067,-52.377510,-85.198227, 
102985,-49.905983,-50.026901,-81.991173, 
103063,-50.066574,-50.821274,-84.093513, 
103141,-50.737141,-50.446312,-84.443115, 
103218,-51.503574,-47.652260,-83.381943, 
103296,-51.491302,-53.769577,-85.027161, 
103374,-48.317032,-55.882980,-83.600647, 
103453,-49.346378,-53.065495,-84.215790, 
103531,-51.387234,-52.987099,-84.608780, 
103609,-50.493176,-54.993713,-84.549919, 
103687,-52.100616,-52.900936,-87.392448, 
103765,-61.181446,-59.826626,-87.157448, 
103843,-59.740086,-59.235313,-83.838005, 
103920,-47.742435,-58.358860,-83.062080, 
103998,-40.010303,-44.564934,-82.210724, 
104077,-36.663677,-38.520222,-82.843849, 
104155,-35.047997,-36.930637,-82.012146, 
104233,-33.140793,-39.117874,-82.552834, 
104311,-31.708851,-38.528549,-79.514061, 
104389,-34.799564,-50.997849,-80.582253, 
104467,-33.980896,-53.501125,-78.928696, 
104544,-33.935871,-50.851372,-78.319099, 
104622,-32.832779,-50.252487,-78.921257, 
104701,-33.521755,-49.601620,-78.661079, 
104779,-32.939487,-53.675797,-78.686264, 
104857,-31.674490,-50.962120,-77.512764, 
104935,-33.885353,-51.680088,-80.288757, 
105013,-33.349648,-50.964302,-79.324348, 
105091,-32.399933,-53.518772,-79.923721, 
105168,-34.030064,-50.871197,-81.125702, 
105246,-34.158146,-52.419304,-79.576851, 
105325,-33.777454,-51.937160,-78.232262, 
105403,-34.173595,-53.742691,-79.671158, 
105481,-32.602940,-54.802868,-79.449051, 
