Service,X,Y,Z
LinearAcc,-0.234505,-1.639142,9.844424, 
LinearAcc,-0.239291,-1.658285,9.822887, 
LinearAcc,-0.251255,-1.610427,9.746315, 
LinearAcc,-0.198611,-1.612820,9.818102, 
LinearAcc,-0.253648,-1.622392,9.782208, 
MagneticField,-31.129793,-50.524231,-77.438789, 
LinearAcc,-0.215362,-1.617606,9.810924, 
MagneticField,-32.938599,-52.635258,-80.184044, 
LinearAcc,-0.232112,-1.646321,9.863567, 
MagneticField,-32.091991,-50.892448,-77.637802, 
LinearAcc,-0.234505,-1.634356,9.786994, 
MagneticField,-33.111599,-52.313114,-78.022995, 
LinearAcc,-0.251255,-1.643928,9.837245, 
MagneticField,-33.628895,-53.304802,-79.597183, 
LinearAcc,-0.234505,-1.651107,9.837245, 
AngularVelocity,-0.140000,-1.750000,0.280000, 
MagneticField,-31.157730,-54.770306,-78.331474, 
LinearAcc,-0.193826,-1.682214,9.842031, 
AngularVelocity,-0.210000,-1.610000,0.350000, 
MagneticField,-32.388332,-51.636627,-77.627548, 
LinearAcc,-0.268006,-1.636749,9.815709, 
AngularVelocity,-0.070000,-1.610000,0.420000, 
MagneticField,-30.672970,-53.505684,-76.568504, 
LinearAcc,-0.244077,-1.636749,9.820495, 
AngularVelocity,-0.070000,-1.750000,0.350000, 
MagneticField,-33.251171,-51.223358,-77.548515, 
LinearAcc,-0.277577,-1.603248,9.810924, 
AngularVelocity,-0.070000,-1.890000,0.350000, 
MagneticField,-32.112152,-52.216835,-77.872437, 
LinearAcc,-0.174682,-1.677429,9.789387, 
AngularVelocity,-0.140000,-1.820000,0.280000, 
MagneticField,-32.312950,-51.139969,-79.222244, 
LinearAcc,-0.239291,-1.634356,9.832459, 
AngularVelocity,-0.210000,-1.540000,0.280000, 
MagneticField,-32.537754,-50.828728,-78.604820, 
LinearAcc,-0.959556,-1.024165,8.504395, 
AngularVelocity,-5.250000,-6.720000,14.770000, 
MagneticField,-31.704496,-52.568359,-79.199158, 
LinearAcc,0.512082,-3.328535,10.801587, 
AngularVelocity,0.000000,-2.730000,3.500000, 
MagneticField,-34.637764,-53.403061,-80.028397, 
LinearAcc,-0.232112,-1.622392,9.593168, 
AngularVelocity,4.690000,-0.910000,-2.800000, 
MagneticField,-35.518120,-51.673344,-80.837364, 
LinearAcc,-1.754002,-0.114860,11.028913, 
AngularVelocity,-35.279999,7.630000,51.310001, 
MagneticField,-33.974865,-52.179718,-79.115051, 
LinearAcc,-0.851875,-0.557548,11.205989, 
AngularVelocity,-2.170000,49.560001,46.759998, 
MagneticField,-38.878742,-52.720234,-83.243408, 
LinearAcc,-6.657070,-1.423780,11.655855, 
AngularVelocity,49.910000,233.380005,69.650002, 
MagneticField,-43.059380,-53.065060,-83.136337, 
LinearAcc,-7.843953,-3.663542,7.286405, 
AngularVelocity,-163.100006,253.889999,-7.700000, 
MagneticField,-62.435383,-47.657894,-84.711571, 
LinearAcc,-6.389065,-3.369215,5.850660, 
AngularVelocity,-150.710007,373.730011,10.850000, 
MagneticField,-84.462822,-56.865833,-83.532730, 
LinearAcc,-7.090187,-0.775302,0.150753, 
AngularVelocity,-67.059998,239.399994,-90.300003, 
MagneticField,-104.453094,-57.515007,-69.635498, 
LinearAcc,-6.587676,-6.941826,-0.026322, 
AngularVelocity,-56.490002,40.180000,-22.820000, 
MagneticField,-100.524857,-62.267540,-57.326801, 
LinearAcc,-7.894204,-4.058372,-1.251491, 
AngularVelocity,-91.419998,31.290001,106.610001, 
MagneticField,-95.867287,-64.541382,-48.648994, 
LinearAcc,-9.396950,-1.768359,-2.120116, 
AngularVelocity,-59.290001,-84.070000,307.579987, 
